"company_name";"incorporation_country";"Country/Region";"primary_sector";"primary_industry";"primary_activity";"Base year";"% reduction from base year";"Target year";"Base year emissions covered by target (metric tons CO2e)";"BY_EM_100";"BY_EM_100_excl_scope3";"Most recent accounting year";"MRY_EM_100";"MRY_EM_100_excl_scope3";"Country impact (excl. scope 3)";"percent_alloc";"% emissions in Scope";"Scope_long";"Country S1";"Country S2L";"Country S2M";"Global S1";"Global S2L";"Global S2M";"T_ID";"Scope_short";"Scope";"Scope1";"Scope2";"target_type";"BY_tmp";"BaseYearEmissions_excl_scope3";"S1";"S2";"perc_scope1";"ratio_EM_excl_incl_scope3";"TargetYearEmissions_excl_scope3";"MRY_EM_excl_scope3_interpolated";"MRY_EM_excl_scope3"
"Österreichische Post AG";"Austria";"Austria";"Intermodal transport & logistics";"Transportation services";"Logistics - 3rd party";2013;14;2025;70383;51455;58302;2017;83555;65848;7765.43797211418;1;100;"Scope 1+2 (location-based) +3 (upstream)";43025;22823;6337;43025;22823;6337;"13793-abs-S12L3-2013-2025-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";70383;55467.4140865299;43025;22823;0.653398736484024;1.13306772908367;47701.9761144157;52878.9347624918;65848
"Aurubis AG";"Germany";"Germany";"Metallic mineral mining";"Mineral extraction";"Other non-ferrous ore mining";2013;8.6;2018;1162321;NA;NA;2017;1634694;NA;NA;1;100;"Scope 1 +2 (market-based)";357632;650592;650592;503678;1162321;1162321;"1177-abs-S12M-2013-2018-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";1162321;1162321;357632;650592;0.354714825276923;1;1062361.394;1082353.3152;1634694
"Hannover Rück SE";"Germany";"Germany";"Financial services";"Services";"Insurance";2007;100;2020;4031;4031;NA;2017;245;NA;4031;1;100;"Scope 2 (location-based)";NA;4033;4033;NA;4033;4033;"8082-abs-S2L-2007-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";4031;4031;0;4033;0;1;0;930.230769230769;245
"ENTEGA AG";"Germany";"Germany";"Trading, wholesale, distribution, rental & leasing";"Services";"Dealers, wholesalers & distributors";2009;80;2020;11993;NA;NA;2017;1182168;97816;793.868409904514;1;6;"Scope 1+2 (market-based) +3 (upstream & downstream)";43841;67759;53975;43841;67759;53975;"46599-abs-S12M3-2009-2020-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";11993;992.335512380643;43841;53975;0.448198658706142;0.0827428927191397;198.467102476128;414.976668813723;97816
"Alma Media Corporation";"Finland";"Finland";"Print & publishing services";"Services";"Print publishing";2016;21;2025;5404;5771;NA;2017;5447.7;NA;1088.79390829694;1;98;"Scope 1 +2 (market-based)";359;4178;4914;359;4364;5137;"569-abs-S12M-2016-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";5404;5184.73289665209;359;4914;0.0680826853783425;1;4095.93898835515;5063.75579573021;5447.7
"Wärtsilä Corporation";"Finland";"Finland";"Powered machinery";"Manufacturing";"Industrial machinery";2015;7;2025;113466;123758;NA;2017;114000;NA;1535.15304384363;1;100;"Scope 1+2 (location-based)";14445;9475;9475;63441;60317;60317;"20408-abs-S12L-2015-2025-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";113466;21930.7577691947;14445;9475;0.603887959866221;1;20395.6047253511;21623.727160426;114000
"DNA Plc";"Finland";"Finland";"Media, telecommunications & data center services";"Services";"Telecommunications services";2014;15;2020;210000;NA;30940;2017;208458;14680;2218.28857611605;1;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";680;21100;14000;680;21100;14000;"52905-abs-S12M3-2014-2020-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";210000;14788.5905074403;680;14000;0.0463215258855586;0.0704218595592398;12570.3019313243;13679.4462193823;14680
"ADP (Aeroports de Paris)";"France";"France";"Industrial support services";"Services";"Transportation support services";2009;100;2030;177641;177641;NA;2017;66380;NA;177641;1;100;"Scope 1+2 (location-based)";49461;16919;3974;49461;16919;3974;"173-abs-S12L-2009-2030-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";177641;177641;49461;16919;0.745119011750527;1;0;109968.238095238;66380
"Natixis SA";"France";"France";"Financial services";"Services";"Banks";2010;20;2020;5087;14962;NA;2017;3948;NA;1017.4;1;63;"Scope 2 (location-based)";NA;0;0;NA;0;0;"12874-abs-S2L-2010-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";5087;5087;0;0;0;1;4069.6;4374.82;3948
"Groupe PSA";"France";"France";"Transportation equipment";"Manufacturing";"Automobiles";2012;26;2025;681409;681410;NA;2017;609285;NA;112069.951114712;1;90;"Scope 1+2 (location-based)";366349;148542;148542;492992;320976;320976;"22991-abs-S12L-2012-2025-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";681409;431038.273518123;366349;148542;0.711507872540013;1;318968.322403411;387934.446166311;609285
"Alpha Bank";"Greece";"Greece";"Financial services";"Services";"Banks";2016;10;2017;54689;56683;NA;2017;48930.65;NA;5468.9;1;100;"Scope 1+2 (location-based)";4942.65;43988;2949;4942.65;43988;2949;"573-abs-S12L-2016-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";54689;54689;4942.65;43988;0.101013373008533;1;49220.1;49220.1;48930.65
"Hellenic Telecommunication Organisation SA";"Greece";"Greece";"Media, telecommunications & data center services";"Services";"Telecommunications services";2008;3;2017;322587;324066;NA;2017;395049;NA;9677.61;1;100;"Scope 1+2 (location-based)";15936;290185;290185;15936;290185;290185;"8187-abs-S12L-2008-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";322587;322587;15936;290185;0.0520578464071397;1;312909.39;312909.39;395049
"Piraeus Bank";"Greece";"Greece";"Financial services";"Services";"Banks";2014;10;2019;59808.44;66926.44;56827.57;2017;42629.38;37670.9;5078.36411243568;1;100;"Scope 1+2 (location-based) +3 (upstream & downstream)";2998.94;34671.96;4901.21;2998.94;34671.96;4901.21;"14820-abs-S12L3-2014-2019-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";59808.44;50783.6411243568;2998.94;34671.96;0.07960892890799;0.849104927738574;45705.2770119211;47736.6226568954;37670.9
"Barclays";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom";"Financial services";"Services";"Banks";2015;30;2018;469535;701600;371156;2017;11580085;276524;29952.8358347451;1;100;"Scope 1+2 (location-based) +3 (upstream)";25935.2;201342.9;241174.92;65340;500086;536244.78;"1502-abs-S12L3-2015-2018-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";469535;99842.786115817;25935.2;201342.9;0.114112182388008;0.529013683010262;69889.9502810719;79874.2288926536;276524
"Interserve Plc";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom";"Specialized professional services";"Services";"Other professional services";2013;50;2020;284923;265419.3;209255;2017;279030;184091;19988.3488676832;1;100;"Scope 1+2 (location-based) +3 (upstream)";27797;5282;5282;143825;42048;42048;"22975-abs-S12L3-2013-2020-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";284923;39976.6977353664;27797;5282;0.840321654221712;0.788394061773202;19988.3488676832;28554.7840966903;184091
"Experian Group";"Ireland";"United Kingdom";"Specialized professional services";"Services";"Other professional services";2017;6;2023;51000;54186;41393;2018;54028.65;36910;666.597276049164;1;100;"Scope 1+2 (location-based) +3 (upstream)";1534;10270;7297;4385;37008;34235;"23073-abs-S12L3-2017-2023-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";51000;11109.9546008194;1534;10270;0.129955947136564;0.76390580592773;10443.3573247702;10998.8550548112;36910
"Kathmandu Holdings";"New Zealand";"United Kingdom";"Textiles & fabric goods";"Apparel";"Clothing manufacture";2012;20;2020;4788;NA;NA;2017;7925.08;NA;NA;1;100;"Scope 1+2 (location-based)";NA;167;167;NA;6968;6968;"23124-abs-S12L-2012-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";4788;4788;NA;167;NA;1;3830.4;4189.5;7925.08
"NAVARRA DE ESTAMPACION E INYECCION S.A.";"Spain";"United Kingdom";"Transportation equipment";"Manufacturing";"Automobiles";2016;15;2020;43065;3309.88;NA;2017;NA;NA;6459.75;1;100;"Scope 3: Waste generated in operations";NA;0;0;NA;0;0;"51759-abs-S3-2016-2020-1";"S3";"Scope 3";"";"";"absolute";43065;43065;0;0;0;1;36605.25;41450.0625;41450.0625
"A.G. Barr Plc";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Food & beverage processing";"Food, beverage & agriculture";"Non-alcoholic beverages";2016;15;2020;14367;NA;NA;2018;NA;NA;NA;1;100;"Scope 1 +2 (market-based)";2755;8180;8180;2755;8180;8180;"1535-abs-S12M-2016-2020-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";14367;14367;2755;8180;0.251943301326017;1;12211.95;13289.475;13289.475
"Royal Mail Group";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Intermodal transport & logistics";"Transportation services";"Logistics - 3rd party";2004;20;2021;873117;NA;NA;2018;653038.97;569213;143038.644871172;1;95;"Scope 1+2 (location-based) +3 (upstream & downstream)";436629;98292.49;8486.37;451103;118110;38323;"16004-abs-S12L3-2004-2021-1";"S12L3";"Scope 1+2+3";"S1";"S2L";"absolute";873117;715193.22435586;436629;98292.49;0.816248754560225;0.871637109191202;572154.579484688;597396.693285483;569213
"Shaftesbury";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Financial services";"Services";"REIT";2015;5;2020;1717;1717;NA;2017;1157.91;NA;82.5136007979895;1;99;"Scope 1+2 (location-based)";207;905.91;905.91;207;950.91;950.91;"16760-abs-S12L-2015-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";1717;1650.27201595979;207;905.91;0.185998867832978;1;1567.7584151618;1617.26657564059;1157.91
"Reach";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Print & publishing services";"Services";"Print publishing";2016;0.5;2017;26032;26032;NA;2017;19227;NA;130.16;1;100;"Scope 2 (location-based)";4034;19227;20700;4034;19227;20700;"19402-abs-S2L-2016-2017-1";"S2L";"Scope 2";"";"S2L";"absolute";26032;26032;0;19227;0;1;25901.84;25901.84;19227
"Communisis Plc";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Print & publishing services";"Services";"Printing services";2017;5;2018;7281;7954;NA;2017;7954;NA;364.05;1;100;"Scope 1+2 (location-based)";1816;6138;6138;1816;6138;6138;"22123-abs-S12L-2017-2018-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";7281;7281;1816;6138;0.228312798591903;1;6916.95;7281;7954
"Helical Plc";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Land & property ownership & development";"Infrastructure";"Real estate owners & developers";2016;2;2018;4874;3674;NA;2018;2792.48;NA;97.48;1;80;"Scope 1+2 (location-based)";795.48;1997;1997;795.48;1997;1997;"23011-abs-S12L-2016-2018-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";4874;4874;795.48;1997;0.284865066177734;1;4776.52;4776.52;2792.48
"INNOVIA FILMS LTD";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Plastic product manufacturing";"Manufacturing";"Plastic products";2008;11.5;2020;40000;40000;NA;2017;37215;NA;4600;1;100;"Scope 2 (location-based)";76745;37215;37215;76745;37215;37215;"41211-abs-S2L-2008-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";40000;40000;0;37215;0;1;35400;36550;37215
"EMCOR Group Inc.";"United States of America";"United Kingdom of Great Britain and Northern Ireland";"Specialized professional services";"Services";"Engineering services";2016;1;2017;263;263;NA;2017;224;NA;2.63;1;100;"Scope 1+2 (location-based)";12;212;212;12;212;212;"41491-abs-S12L-2016-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";263;263;12;212;0.0535714285714286;1;260.37;260.37;224
"Direct Line Insurance Group";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Financial services";"Services";"Insurance";2013;57;2020;29908;30624;NA;2017;17398.55;NA;17047.56;1;94;"Scope 1+2 (location-based)";8027.34;9371.21;10475.83;8027.34;9371.21;10475.83;"44665-abs-S12L-2013-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";29908;29908;8027.34;9371.21;0.461379827629314;1;12860.44;20166.5371428571;17398.55
"MUNTONS PLC";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Food & beverage processing";"Food, beverage & agriculture";"Other food processing";2010;45;2025;116866;NA;NA;2017;46530;NA;NA;1;100;"Scope 1 +2 (market-based)";100;0;0;39487;0;0;"46702-abs-S12M-2010-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";116866;116866;100;0;1;1;64276.3;92324.14;46530
"Canary Wharf Group Plc";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Land & property ownership & development";"Infrastructure";"Real estate owners & developers";2012;5;2017;46689;46688;NA;2017;29393;NA;2334.45;1;100;"Scope 1+2 (location-based)";3720;25673;25673;3720;25673;25673;"52920-abs-S12L-2012-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";46689;46689;3720;25673;0.126560745755792;1;44354.55;44354.55;29393
"NATS";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Industrial support services";"Services";"Transportation support services";2014;6;2020;32047;NA;NA;2018;25205;NA;1922.82;1;100;"Scope 1+2 (location-based)";3982;21223;20628;3982;21223;20628;"59134-abs-S12L-2014-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";32047;32047;3982;21223;0.157984526879587;1;30124.18;30765.12;25205
"Grant Thornton UK";"United Kingdom of Great Britain and Northern Ireland";"United Kingdom of Great Britain and Northern Ireland";"Specialized professional services";"Services";"Other professional services";2017;20;2023;3264;3263.7;NA;2018;2527.7;NA;616.127293587055;1;100;"Scope 1 +2 (market-based)";385.7;2192.9;2000;385.7;2192.9;2142;"62862-abs-S12M-2017-2023-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";3264;3080.63646793527;385.7;2000;0.161671626776208;1;2464.50917434822;2977.94858567077;2527.7
"Rinchem Company Inc";"United States of America";"Ireland";"Commercial & consumer services";"Services";"Commercial services";2017;70;2050;19620;19620;NA;2017;19620;NA;0;1;100;"Scope 1";20984;1115;1115;20984;1115;1115;"61315-abs-S1-2017-2050-1";"S1";"Scope 1";"S1";"";"absolute";19620;19620;20984;0;1;1;5886;19620;19620
"SIAS";"Italy";"Italy";"Construction";"Infrastructure";"Transportation infrastructure & other construction";2017;18;2021;27772;27772;NA;2017;27772;NA;4998.96;1;100;"Scope 2 (location-based)";10782;27772;38897;10782;27772;38897;"16902-abs-S2L-2017-2021-1";"S2L";"Scope 2";"";"S2L";"absolute";27772;27772;0;27772;0;1;22773.04;27772;27772
"Snam S.P.A";"Italy";"Italy";"Oil & gas storage & transportation";"Fossil Fuels";"Oil & gas pipelines & storage";2016;10;2021;834812;1438720;NA;2017;1500301;NA;83481.2;1;58;"Scope 1";1500301;31738;28758;1500301;31738;28758;"17279-abs-S1-2016-2021-1";"S1";"Scope 1";"S1";"";"absolute";834812;834812;1500301;0;1;1;751330.8;818115.76;1500301
"Terna";"Italy";"Italy";"Energy utility networks";"Infrastructure";"Electricity networks";2016;8;2022;74716;74715.5;NA;2017;72489.3;NA;5977.28;1;100;"Scope 2 (location-based)";75792.9;72489.3;72489.3;75792.9;72489.3;72489.3;"18579-abs-S2L-2016-2022-1";"S2L";"Scope 2";"";"S2L";"absolute";74716;74716;0;72489.3;0;1;68738.72;73719.7866666667;72489.3
"Iren SpA";"Italy";"Italy";"Energy utility networks";"Infrastructure";"Electricity networks";2016;14;2022;3408288;3408288;NA;2017;3429844;NA;477160.32;1;100;"Scope 1";3429844;97157;139452;3429844;97157;139452;"31273-abs-S1-2016-2022-1";"S1";"Scope 1";"S1";"";"absolute";3408288;3408288;3429844;0;1;1;2931127.68;3328761.28;3429844
"ASTM SpA";"Italy";"Italy";"Construction";"Infrastructure";"Transportation infrastructure & other construction";2017;18;2021;27772;29054;NA;2017;29054;NA;4998.96;1;96;"Scope 2 (location-based)";19863;29054;40693;19863;29054;40693;"31290-abs-S2L-2017-2021-1";"S2L";"Scope 2";"";"S2L";"absolute";27772;27772;0;29054;0;1;22773.04;27772;29054
"OFFICINE METALLURGICHE G. CORNAGLIA SPA";"Italy";"Italy";"Transportation equipment";"Manufacturing";"Automobiles";2017;5;2020;68000;NA;NA;2017;NA;NA;3400;1;100;"Scope 2 (location-based)";NA;0;0;NA;0;0;"46848-abs-S2L-2017-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";68000;68000;0;0;0;1;64600;68000;68000
"Italgas";"Italy";"Italy";"Energy utility networks";"Infrastructure";"Gas utilities";2015;5.5;2020;534192;534192;NA;2017;513883;NA;29380.56;1;100;"Scope 1";513883;10400;10400;513883;10400;10400;"68188-abs-S1-2015-2020-1";"S1";"Scope 1";"S1";"";"absolute";534192;534192;513883;0;1;1;504811.44;522439.776;513883
"Lumson SPA";"Italy";"Italy";"Light manufacturing";"Manufacturing";"Other containers & packaging";2014;1;2017;6623;6623;NA;2017;8202;NA;66.23;1;100;"Scope 2 (location-based)";0;8202;8202;0;8202;8202;"827021-abs-S2L-2014-2017-1";"S2L";"Scope 2";"";"S2L";"absolute";6623;6623;0;8202;0;1;6556.77;6556.77;8202
"ACERINOX";"Spain";"Spain";"Metal smelting, refining & forming";"Materials";"Iron & steel";2005;20;2020;566788;566788;NA;2017;597726;NA;107290.567644707;1;100;"Scope 1+2 (location-based)";235727;330008;330008;235727;361999;361999;"169-abs-S12L-2005-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";566788;536452.838223535;235727;330008;0.416673884415848;1;429162.270578828;450620.384107769;597726
"Ube Industries, Ltd.";"Japan";"Spain";"Chemicals";"Manufacturing";"Other base chemicals";2005;15;2021;14230000;NA;NA;2018;12100000;NA;NA;1;100;"Scope 1 +2 (market-based)";6300;180000;180000;10200000;440000;440000;"19573-abs-S12M-2005-2021-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";14230000;14230000;6300;180000;0.0338164251207729;1;12095500;12495718.75;12100000
"Mario Camacho Foods, Llc";"United States of America";"Spain";"Food & beverage processing";"Food, beverage & agriculture";"Fruit, nut & vegetable processing";2015;20;2020;5488;5488;NA;2017;4148;NA;1097.6;1;100;"Scope 1+2 (location-based)";NA;0;0;NA;0;0;"33461-abs-S12L-2015-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";5488;5488;NA;0;NA;1;4390.4;5048.96;4148
"CE (CETARSA)";"Spain";"Spain";"Tobacco";"Food, beverage & agriculture";"Tobacco products";2017;1;2020;335;1693;NA;2017;1693;NA;3.35;1;100;"Scope 2 (location-based)";NA;0;0;NA;0;0;"50905-abs-S2L-2017-2020-1";"S2L";"Scope 2";"";"S2L";"absolute";335;335;0;0;0;1;331.65;335;1693
"Euskaltel SA";"Spain";"Spain";"Media, telecommunications & data center services";"Services";"Telecommunications services";2017;0;2020;14015.99;23078.26;NA;2017;23078.26;NA;0;1;100;"Scope 1+2 (location-based)";1184.85;10940.47;10940.47;1184.85;21893.41;21893.41;"59359-abs-S12L-2015-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";14015.99;14015.99;1184.85;10940.47;0.0977170087057496;1;14015.99;14015.99;23078.26
"SERTRANS CATALUNYA SA";"Spain";"Spain";"Road transport";"Transportation services";"Road freight";2016;3.34;2017;24569.26;NA;NA;2017;23748.88;NA;820.613284;1;100;"Scope 1";23748.88;0;0;23748.88;0;0;"830770-abs-S1-2016-2017-1";"S1";"Scope 1";"S1";"";"absolute";24569.26;24569.26;23748.88;0;1;1;23748.646716;23748.646716;23748.88
"Peab AB";"Sweden";"Sweden";"Construction";"Infrastructure";"Non-residential building construction";2017;0;2045;11379;164690;89201;2017;164690;89201;0;1;100;"Scope 1+2 (market-based) +3 (upstream & downstream)";89201;1408.21;1408.21;89201;1408.21;1408.21;"14516-abs-S12M3-2017-2045-1";"S12M3";"Scope 1+2+3";"S1";"S2M";"absolute";11379;11379;89201;1408.21;0.98445842315588;0.54162972858097;11379;11379;89201
"LyondellBasell Industries N.V.";"United States of America";"EU15";"Chemicals";"Manufacturing";"Other base chemicals";2016;2;2017;21820000;21722000;NA;2017;22945000;NA;132233.901114078;1;100;"Scope 1+2 (location-based)";4449000;2133000;8353000;13368000;8354000;8353000;"11085-abs-S12L-2016-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";21820000;6611695.0557039;4449000;2133000;0.675934366453965;1;6479461.15458982;6479461.15458982;22945000
"AFLAC Incorporated";"United States of America";"United States of America";"Financial services";"Services";"Insurance";2007;50;2025;29765;29765;NA;2017;11718;NA;14882.5;1;100;"Scope 2 (location-based)";3857;23826;23826;3857;23826;23826;"362-abs-S2L-2007-2025-1";"S2L";"Scope 2";"";"S2L";"absolute";29765;29765;0;23826;0;1;14882.5;21496.9444444444;11718
"AK Steel Holding Corporation";"United States of America";"United States of America";"Metal smelting, refining & forming";"Materials";"Iron & steel";2015;18.1;2025;8092985;8092985;NA;2017;6567119;NA;1464830.285;1;100;"Scope 1";6567119;2381085;2381085;6567119;2381085;2381085;"453-abs-S1-2015-2025-1";"S1";"Scope 1";"S1";"";"absolute";8092985;8092985;6567119;0;1;1;6628154.715;7800018.943;6567119
"Altria Group, Inc.";"United States of America";"United States of America";"Tobacco";"Food, beverage & agriculture";"Tobacco products";2015;13.3;2025;392172;392172;NA;2017;340007;NA;52158.876;1;100;"Scope 1+2 (location-based)";167695;172312;168889;167695;172312;168889;"628-abs-S12L-2015-2025-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";392172;392172;167695;172312;0.493210433902831;1;340013.124;381740.2248;340007
"Campbell Soup Company";"United States of America";"United States of America";"Food & beverage processing";"Food, beverage & agriculture";"Other food processing";2017;25;2025;751340;751340;NA;2017;751340;NA;147804.75;1;100;"Scope 1+2 (location-based)";332822;258397;258397;416838;334502;334502;"2611-abs-S12L-2017-2025-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";751340;591219;332822;258397;0.562941989347433;1;443414.25;591219;751340
"Charles Schwab Corporation";"United States of America";"United States of America";"Financial services";"Services";"Banks";2016;1;2017;51194;51194;NA;2017;50273;NA;511.94;1;100;"Scope 1+2 (location-based)";2158;48115;48115;2158;48115;48115;"3133-abs-S12L-2016-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";51194;51194;2158;48115;0.0429256260815945;1;50682.06;50682.06;50273
"Colgate Palmolive Company";"United States of America";"United States of America";"Chemicals";"Manufacturing";"Personal care & household products";2016;5;2022;49830000;47980000;NA;2017;48407000;NA;NA;1;90;"Scope 3: Use of sold products";50419;131488;24491;209757;431330;327432;"3551-abs-S3-2016-2022-1";"S3";"Scope 3";"";"";"absolute";49830000;49830000;0;0;0;1;47338500;49414750;48407000
"DTE Energy Company";"United States of America";"United States of America";"Thermal power generation";"Power generation";"CCGT generation";2005;80;2050;37700000;37722000;NA;2017;31857000;NA;30160000;1;94;"Scope 1";31857000;1715000;1715000;31857000;1715000;1715000;"5021-abs-S1-2005-2050-1";"S1";"Scope 1";"S1";"";"absolute";37700000;37700000;31857000;0;1;1;7540000;29657333.3333333;31857000
"Fifth Third Bancorp";"United States of America";"United States of America";"Financial services";"Services";"Banks";2014;25;2022;152847;152847;NA;2017;106733;NA;38211.75;1;100;"Scope 1+2 (location-based)";12116;94617;58315;12116;94617;58315;"6285-abs-S12L-2014-2022-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";152847;152847;12116;94617;0.113516906673662;1;114635.25;138517.59375;106733
"FirstEnergy Corporation";"United States of America";"United States of America";"Energy utility networks";"Infrastructure";"Electricity networks";2005;90;2045;86403130;86403130;NA;2017;42474081;NA;77544615.0321765;1;99.72;"Scope 1";42354899;54019;50355;42474081;54019;50355;"6383-abs-S1-2005-2045-1";"S1";"Scope 1";"S1";"";"absolute";86403130;86160683.369085;42354899;0;1;1;8616068.3369085;62897298.8594321;42474081
"Harris Corporation";"United States of America";"United States of America";"Electrical & electronic equipment";"Manufacturing";"Electrical equipment";2017;3;2018;154104;155064.46;NA;2017;155064.46;NA;NA;1;100;"Scope 1+2 (location-based)";NA;153440;153440;NA;154401;154401;"8055-abs-S12L-2017-2018-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";154104;154104;NA;153440;NA;1;149480.88;154104;155064.46
"Huntington Bancshares Incorporated";"United States of America";"United States of America";"Financial services";"Services";"Banks";2017;10;2022;77722;77722;NA;2017;77722;NA;7772.2;1;100;"Scope 2 (location-based)";14341;77722;93477;14341;77722;93477;"8670-abs-S2L-2017-2022-1";"S2L";"Scope 2";"";"S2L";"absolute";77722;77722;0;77722;0;1;69949.8;77722;77722
"Imperial Holdings";"South Africa";"United States of America";"Trading, wholesale, distribution, rental & leasing";"Services";"Dealers, wholesalers & distributors";2016;2;2017;508778.34;1239603.74;NA;2017;881381.63;NA;153.685235921944;1;41.04;"Scope 1+2 (location-based)";16700.96;2021.22;2021.22;1042212.62;197391.12;197391.12;"8881-abs-S12L-2016-2017-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";508778.34;7684.2617960972;16700.96;2021.22;0.892041418253643;1;7530.57656017526;7530.57656017526;881381.63
"International Flavors & Fragrances Inc.";"United States of America";"United States of America";"Chemicals";"Manufacturing";"Specialty chemicals";2015;30;2025;246761;246761;NA;2017;206583;NA;23943.6;1;100;"Scope 1 +2 (market-based)";57422;24099;22390;118984;138574;127777;"9336-abs-S12M-2015-2025-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";246761;79812;57422;22390;0.719465744499574;1;55868.4;75023.28;206583
"International Paper Company";"United States of America";"United States of America";"Paper products & packaging";"Manufacturing";"Paper products";2010;20;2020;17262890;17262890;NA;2017;13669684;NA;2755549.20083028;1;100;"Scope 1+2 (location-based)";7490900;3390500;3390500;9559400;4074500;4074500;"9352-abs-S12L-2010-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";17262890;13777746.0041514;7490900;3390500;0.688413255647251;1;11022196.8033211;11848861.5635702;13669684
"Kelly Services";"United States of America";"United States of America";"Specialized professional services";"Services";"Other professional services";2017;3;2020;700;690;NA;2017;690;NA;21;1;20;"Scope 1";690;6475;6475;690;6475;6475;"10057-abs-S1-2017-2020-1";"S1";"Scope 1";"S1";"";"absolute";700;700;690;0;1;1;679;700;690
"Kohl's Corporation";"United States of America";"United States of America";"Discretionary retail";"Retail";"Department stores";2008;20;2020;835282;NA;NA;2017;567723;NA;167056.4;1;100;"Scope 1+2 (location-based)";38553;529170;536273;38553;529170;536273;"10233-abs-S12L-2008-2020-1";"S12L";"Scope 1+2";"S1";"S2L";"absolute";835282;835282;38553;529170;0.0679081171627713;1;668225.6;709989.7;567723
"PG&E Corporation";"United States of America";"United States of America";"Energy utility networks";"Infrastructure";"Electricity networks";2016;10;2022;1668052;4654064;NA;2017;4640840;NA;166805.2;1;34;"Scope 1 +2 (market-based)";4281599;650527;359241;4281599;650527;359241;"14678-abs-S12M-2016-2022-1";"S12M";"Scope 1+2";"S1";"S2M";"absolute";1668052;1668052;4281599;359241;0.922591384318356;1;1501246.8;1640251.13333333;4640840
